,Unnamed: 0,conversation_id,child_id,tweet_text,tweet_text_clean,subjectivity,vader_polarity,blob_polarity
48,48,1352466072683896833,1352466814677078017,@nytimes @UmeshGautamBJP sir do you have humanity sir,sir do you have humanity sir,0.0,0.0,0.0
49,49,1352466072683896833,1352466746691772417,"@nytimes Attaboy Tone!
If ye can't dazzle 'em with science baffle 'em with BS",Attaboy Tone!If ye can't dazzle 'em with science baffle 'em with BS,0.0,0.0,0.0
50,50,1352466072683896833,1352466694162305025,@nytimes Knowingly lied about masks and just makes up herd immunity as he goes yet.... sCiEnCe,Knowingly lied about masks and just makes up herd immunity as he goes yet.... sCiEnCe,0.0,-0.3818,0.0
51,51,1352466072683896833,1352466635760820225,@nytimes remember that time he said masks wouldnt protect you?  Remember when WHO said there was no person to person transfer of corona??  Who writes for you guys that cant correct bidens missteps in his  first two days in office????,remember that time he said masks wouldnt protect you? Remember when WHO said there was no person to person transfer of corona?? Who writes for you guys that cant correct bidens missteps in his first two days in office????,0.3333333333333333,-0.6535,0.25
52,52,1352466072683896833,1352466627472875522,"@nytimes OMG 
https://t.co/3Ox2TLBcVY",OMG,0.0,0.0,0.0
53,53,1352466072683896833,1352466613526618112,@nytimes Who would have thought that science would need to be liberated in America.,Who would have thought that science would need to be liberated in America.,0.0,0.0,0.0
54,54,1352466072683896833,1352466537223921664,"@nytimes We can finally get the facts before big bad man Donald who drank 12 Diet Cokes a day came over and stopped him. 

#Inauguration #BidenHarris",We can finally get the facts before big bad man Donald who drank Diet Cokes a day came over and stopped him.,0.5888888888888889,-0.6597,-0.23333333333333328
55,55,1352466072683896833,1352466516898246657,"@nytimes Please help me with 50000 rupees for clear to my debts @tim_cook sir please help me sir I'm in trouble please believe me help me sir 
Ac:62209153711
IFSC code:20246
Thorrur branch
State Bank of India
Boorgula Anil
Please send me money @tim_cook sir please help me sir please",Please help me with rupees for clear to my debts sir please help me sir I'm in trouble please believe me help me sir Ac:62209153711IFSC code:20246Thorrur branchState Bank of IndiaBoorgula AnilPlease send me money sir please help me sir please,0.29166666666666663,0.9595,-0.049999999999999996
56,56,1352466072683896833,1352466514486599681,@nytimes 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏✨,,0.0,0.0,0.0
57,57,1352466072683896833,1352466490168123399,@nytimes 🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌✨,,0.0,0.0,0.0
58,58,1352466072683896833,1352466474229616640,@nytimes Time for fake news and lying bureaucrats to thrive. No barriers.,Time for fake news and lying bureaucrats to thrive. No barriers.,1.0,-0.8271,-0.5
59,59,1352466072683896833,1352466457779707905,@nytimes omg https://t.co/2DYcvDD8XB,omg,0.0,0.0,0.0
60,60,1352466072683896833,1352466452285157377,@nytimes 95% only bad news(,% only bad news(,0.8333333333333333,-0.5423,-0.3499999999999999
61,61,1352466072683896833,1352466403186651136,@nytimes We’ve squandered time and lives. Let the science be heard.,Weve squandered time and lives. Let the science be heard.,0.0,0.0,0.0
62,62,1352466072683896833,1352466359397957633,@nytimes we don’t care https://t.co/sIraoWgzL1,we dont care,0.0,-0.3875,0.0
63,63,1352466072683896833,1352466343472193540,@nytimes https://t.co/Ca82HfnCGP,,0.0,0.0,0.0
64,64,1352466072683896833,1352466339957334017,@nytimes tanked https://t.co/sIraoWgzL1,tanked,0.0,0.0,0.0
65,65,1352466072683896833,1352466330641903625,@nytimes https://t.co/HnVQwfqLae,,0.0,0.0,0.0
66,66,1352466072683896833,1352466327194095619,@nytimes Biden/Harris Covid Death Count 8298 and climbing,Biden/Harris Covid Death Count and climbing,0.0,-0.5994,0.0
67,67,1352466072683896833,1352466316066770946,@nytimes Fauci looks 15 years younger now,Fauci looks years younger now,0.0,0.0,0.0
68,68,1352466072683896833,1352466268805332993,@nytimes https://t.co/ERnHvM8STb,,0.0,0.0,0.0
69,69,1352466072683896833,1352466214895972353,@nytimes 😲😲😲 https://t.co/fZ2z8dCMSk,,0.0,0.0,0.0
70,70,1352466072683896833,1352466133098622978,@nytimes https://t.co/3C8J3XyrjZ,,0.0,0.0,0.0
